Reference, Quantity, Value, Footprint, Description, Manufacturer_Name, Manufacturer_Part_Number, Mouser Part Number
C1 C2 ,2,100nF,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,
IC1 ,1,TXS0104ED,SOIC127P600X175-14N,"TXS0104ED, Voltage Level Translator, Open Drain 1.65 to 3.6, 2.3 to 5.5V 14-Pin SOIC",Texas Instruments,TXS0104ED,595-TXS0104ED
J1 ,1,USB3075-30-A,USB307530A,"GCT (GLOBAL CONNECTOR TECHNOLOGY) - USB3075-30-A - USB Connector, Micro USB Type B, USB 2.0, Receptacle, 5 Ways, Surface Mount, Right Angle",GCT (GLOBAL CONNECTOR TECHNOLOGY),USB3075-30-A,640-USB3075-30-A
J2 ,1,USB_HEADER,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal,,,,
J3 ,1,CIA,DIPS1544W70P254L5080H530Q40N,"TE CONNECTIVITY - 1-2199299-5 - IC SOCKET, DIP, 40POS, TH",TE Connectivity,1-2199299-5,571-1-2199299-5
J4 ,1,CIA-board,,"Use machine pin header, 2 of each, 1x20 2.54mm, solder to bottom side",,,
J7 ,1,Amiga_Reset,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,,,,
J8 ,1,USB1046-GF-0190-L-B-A,USB1046GF0190LBA,"USB Connectors USB A Skt, Top Mount, SMT, R/A, GF, Black, With 1.9mm shell stake, T&R",GCT (GLOBAL CONNECTOR TECHNOLOGY),USB1046-GF-0190-L-B-A,640-USB1046GF0190LBA
J9 ,1,USB_BOOT,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,,,
R1 R4 ,2,10k,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,
U1 ,1,RP2040_Stamp,SamacSys_Parts:RP2040_Stamp_THT,https://shop.pimoroni.com/products/rp2040-stamp?variant=39567567028307,,,
